Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available,Is_Disabled,Is_Reserved
Veo,956102ca-fb68-5b67-a15d-fbd3619297a0,bicycle,39.944844,-83.044536,,24.84,True,False,False
Veo,665e7a61-1aa8-5a35-b364-dea7c61ac288,scooter,39.946527,-83.054778,,24.06,True,False,False
Veo,206da45f-148a-5eb7-b54f-fd44e5b50fa7,bicycle,39.957993,-83.014099,,28.14,True,False,False
Veo,3c2f9af6-bbaa-5a0b-a930-70123114d502,scooter,40.002103,-83.015652,,15.45,True,False,False
Veo,90eb23e8-9dfc-5ae4-8049-f19e49ba2196,bicycle,39.985373,-83.000552,,26.25,True,False,False
Veo,d5bcaecc-499c-5653-8570-9cc07393f7bb,scooter,40.103946,-83.10894,,28.14,True,False,False
Veo,44216510-30e7-56a7-99c0-5c2da9b13b09,bicycle,40.016691,-83.011706,,15.45,True,False,False
Veo,0cfdedfc-72ec-542c-bfbf-661dc68d19b0,bicycle,39.998008,-83.009469,,28.14,True,False,False
Veo,b169d30b-845f-532c-b347-838e1b3e7bc8,scooter,40.014607,-83.011023,,18.19,True,False,False
Veo,a2e3777d-7e3a-5d78-ac3c-5e863488bbbe,bicycle,39.987829,-83.005729,,28.14,True,False,False
Veo,ec08dc2d-f1e1-5b52-8031-dd2dde8babe4,scooter,39.975766,-83.002241,,19.05,True,False,False
Veo,e9af2e41-8b3f-5428-bf00-9eb370b49874,scooter,40.032692,-82.991479,,15.18,True,False,False
Veo,2008113,bicycle,39.96324,-82.981362,,27.77,True,False,False
Veo,2008110,scooter,39.950194,-83.000278,,27.02,True,False,False
Veo,6ec7caed-7b8a-59e8-91ea-e174c040eeae,scooter,39.952325,-83.051428,,23.02,True,False,False
Veo,eb543a93-94bf-5cbc-802c-d91f3880d6fa,scooter,40.001888,-83.012729,,28.14,True,False,False
Veo,d2f5c93d-c3a5-5008-ab9a-505ba485ab98,scooter,40.104922,-83.109088,,11.34,True,False,False
Veo,b79a3894-1b76-51e8-9a98-a1b749e58bf2,scooter,40.006165,-83.008918,,13.1,True,False,False
Veo,d760db2c-933e-5b77-987f-0ac5adb5971e,scooter,40.02078,-83.038267,,19.78,True,False,False
Veo,f69a8f66-e550-55e9-9934-d4d0cb584069,scooter,39.99897,-83.039097,,16.84,True,False,False
Veo,34d569e0-33fb-5269-b33d-ebfe16c8fd29,scooter,40.00592,-82.997742,,24.84,True,False,False
Veo,e3f0e343-d337-56f7-9968-5ac299b5b12b,bicycle,40.022533,-83.013661,,28.14,True,False,False
Veo,55b0e910-5272-5866-afca-29756ab3f220,bicycle,39.951044,-82.994488,,26.25,True,False,False
Veo,da5d8adb-6bba-5d72-af8e-344bf5355dfd,scooter,39.94428,-83.063355,,22.39,True,False,False
Veo,151bafa5-49b6-506c-9fc0-2744e2994bd1,bicycle,39.934256,-82.984854,,19.78,True,False,False
Veo,911178f1-499c-5770-b1b2-27d315b79a75,scooter,39.968975,-83.003817,,24.33,True,False,False
