Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available,Is_Disabled,Is_Reserved
Veo,797cf4c7-c65e-53ac-a326-d49a9e931281,bicycle,39.972923,-82.909235,,5.44,True,False,False
Veo,534ee74d-738e-5f18-8279-328067ee1900,bicycle,39.991835,-83.007734,,25.74,True,False,False
Veo,2008743,scooter,40.101024,-83.108882,,24.33,True,False,False
Veo,a6a5af33-db5e-5182-a0a9-82e265c14038,scooter,39.98923,-83.001803,,27.44,True,False,False
Veo,2008105,scooter,40.10102,-83.108777,,28.14,True,False,False
Veo,99291f3a-e02c-58f0-873c-81171685d1c8,bicycle,40.023585,-83.030394,,27.44,True,False,False
Veo,a5441e44-283f-5830-8002-4675f2f93467,bicycle,40.012433,-83.026546,,8.78,True,False,False
Veo,a7e8fc09-f28a-58de-92ae-b3b0c8944b1a,scooter,39.94841,-82.997843,,8.09,True,False,False
Veo,d4ac5f8f-b79d-5118-9105-05c433e58df4,bicycle,39.952757,-83.031973,,22.39,True,False,False
Veo,590deb3e-361b-5e14-b382-c171f13ff51f,scooter,40.001152,-83.00833,,23.02,True,False,False
Veo,d4b0e8b6-ee57-5ba3-9378-af12aabecc99,bicycle,39.985164,-82.929466,,26.25,True,False,False
Veo,60210541-0ab9-5094-b2a5-0db0a03376cc,scooter,39.955361,-83.028416,,24.33,True,False,False
Veo,902a6e20-834d-510c-a589-5110f0f4af28,bicycle,40.013474,-83.007617,,28.14,True,False,False
Veo,b1106dec-9dbb-57df-a8a1-be9c272165f1,scooter,39.999857,-83.007274,,28.14,True,False,False
Veo,e18a33f7-73a7-51e4-9baa-db4bdf2b6e04,bicycle,40.004572,-83.014397,,24.33,True,False,False
Veo,f2c34e45-8cf2-5340-9170-3cfc29dcb48a,scooter,39.973857,-83.003436,,12.52,True,False,False
Veo,0f875f3d-0ba7-5114-b22f-76eeda978758,bicycle,39.979046,-82.995726,,12.87,True,False,False
Veo,a15cd9db-595c-5e8b-899e-37917a14540f,bicycle,39.956248,-82.956535,,27.18,True,False,False
Veo,54946dd2-d72b-5556-bd1f-1715b404533e,bicycle,40.010827,-83.04761,,10.51,True,False,False
Veo,396f6dcb-3928-5c42-9c2c-5129c7079685,bicycle,39.926977,-83.055572,,4.19,True,False,False
Veo,1987b11e-d888-584b-90fc-905562e2e653,bicycle,39.973091,-82.993435,,28.14,True,False,False
Veo,53d37fb9-b618-5e91-846a-88869fbb974f,scooter,39.948538,-82.958848,,28.14,True,False,False
Veo,ff3ee2ce-7b37-5f63-a945-09f131b05c84,scooter,39.99353,-82.981146,,28.14,False,True,False
Veo,02d787a8-6d62-5619-a1a0-8cf6a5b55908,scooter,40.00988,-83.007321,,8.09,True,False,False
Veo,3538b893-8b58-57af-ae83-2d65e48fb886,bicycle,39.948569,-82.982844,,27.44,True,False,False
Veo,1abc2075-aa61-5b94-b168-05f5878769cd,bicycle,39.994944,-83.013891,,13.1,True,False,False
Veo,861d3dcb-22c2-58f5-b0f6-62f4ce3d488e,bicycle,39.93841,-82.972392,,25.34,True,False,False
Veo,31f66875-7413-5c55-a9f5-833834bf350e,scooter,39.949353,-83.022244,,5.03,True,False,False
Veo,1e5baccb-e4b4-5230-8c2f-13fe1e2c7f63,scooter,40.015211,-82.979481,,7.29,True,False,False
Veo,34f45053-2b71-54cd-bc13-2b197389a622,bicycle,39.967942,-83.000805,,13.1,True,False,False
Veo,93139de0-6957-5ebf-a409-c788f7248dcb,bicycle,40.066851,-83.078123,,28.14,True,False,False
Veo,1125f5c4-48bb-5baa-afcd-df50c4e9a840,bicycle,39.976363,-83.01089,,28.14,True,False,False
Veo,c470d526-fe47-51d1-8043-d248575abcd1,bicycle,40.103277,-83.108705,,24.33,True,False,False
Veo,f556c5c8-a4f2-52ed-b3fe-197f15179a10,scooter,40.008743,-83.000466,,18.19,True,False,False
Veo,c5be6f26-ce91-590c-be63-7e5963180852,scooter,39.902961,-83.056871,,25.65,False,True,False
Veo,3a99dd3c-1c3a-5469-8e5b-880585c1a37b,bicycle,39.995415,-83.014583,,6.67,True,False,False
Veo,84b05884-09b2-5d11-bad6-79bb8fc3a84b,bicycle,39.963386,-83.002541,,24.84,True,False,False
Veo,9d7bef90-334f-5c45-80bc-bed9deba1c70,bicycle,39.946525,-83.054812,,13.39,True,False,False
Veo,c73ffb05-0665-5d28-b01c-4ca48a5f6fa0,bicycle,39.953229,-83.111927,,2.09,True,False,False
Veo,1612a217-dbb5-5a30-bafc-5e19203d34d0,scooter,39.989732,-83.00551,,27.77,True,False,False
Veo,0fd10067-178d-59d3-bc33-ff7443ff87d7,bicycle,39.956238,-83.014851,,16.39,True,False,False
Veo,a7b2b4ab-3f13-5043-b00b-075538837f75,bicycle,40.002047,-83.016307,,28.01,True,False,False
Veo,0ac4ceb3-1347-50d2-81e5-be631458941c,bicycle,39.987313,-83.023341,,28.14,True,False,False
Veo,bc5f21e2-6eb9-5cf4-84a5-dff0ff4af3e6,bicycle,40.001816,-83.013948,,10.31,True,False,False
Veo,83aff109-614c-5788-a87f-55e86b3f4f76,bicycle,40.003746,-83.00144,,25.12,True,False,False
Veo,97db4ea1-338c-5124-908d-471795674e79,bicycle,39.993384,-83.020189,,24.06,True,False,False
Veo,c6603c5d-3534-578b-92e9-e89a4243ea87,bicycle,39.959578,-83.037734,,28.14,True,False,False
Veo,826194ee-ddcb-5a39-877c-355b152451e4,scooter,39.990634,-83.021191,,13.39,False,False,True
Veo,79f5d210-b74b-5a17-b91f-3cc6da795c89,scooter,39.858222,-82.989739,,6.67,True,False,False
Veo,e96b96b5-f9e6-569d-9b99-f815922400fb,scooter,40.032598,-82.98784,,28.14,True,False,False
Veo,3bd88e41-0891-5274-8a8d-993d1c2e0664,scooter,40.010271,-83.013355,,28.14,True,False,False
Veo,9ed610f0-9422-5ab0-9e83-9697d701baf8,scooter,39.9899,-82.989926,,28.14,True,False,False
Veo,94d2671e-f14c-577e-aa2b-f7735cf2a70e,bicycle,40.005585,-83.010457,,26.25,True,False,False
Veo,a0120e3a-1a1c-50c7-bbdb-884c3862c4ae,bicycle,39.902938,-83.056894,,23.02,True,False,False
Veo,19e76113-9427-547d-be97-1fbef542e354,bicycle,40.027325,-82.960824,,3.48,True,False,False
Veo,dd888e3b-8d00-53a3-9b56-230602d07d55,bicycle,39.955554,-82.970236,,10.79,True,False,False
Veo,b17e856a-2240-5a8a-847a-c160e1739d8b,scooter,39.95355,-82.982247,,12.28,True,False,False
Veo,5a2864aa-1c7d-53e5-bee1-d766528bc6c6,scooter,40.054817,-82.957962,,2.12,True,False,False
Veo,23a3603c-38c9-58a3-a8c9-3603d0e9a2b2,scooter,39.962074,-83.000166,,24.06,True,False,False
Veo,68172d6b-00c5-5328-b0a1-b5ed0a26e6a7,scooter,39.946186,-82.878064,,28.14,True,False,False
Veo,6c8dfbf1-39ac-56b3-9a99-6eb264635550,scooter,40.052816,-82.962646,,4.78,True,False,False
Veo,7976a051-bf80-5243-83ff-c7075c5eda80,scooter,40.012534,-83.00135,,12.28,True,False,False
Veo,983e9139-3745-5d68-ba6a-36444c0386b9,scooter,39.994744,-83.005772,,28.14,True,False,False
Veo,360548a5-8a89-556d-99f0-ec704e46bbd0,bicycle,39.947878,-83.062934,,28.01,True,False,False
Veo,163ba3b1-3343-5e6a-8623-d9d02881197a,scooter,39.986919,-83.072279,,28.14,True,False,False
Veo,68d55bd4-e0bf-504f-ade2-b38a598bb46c,scooter,40.000908,-83.001206,,27.77,True,False,False
Veo,035fc4e1-b888-5ed6-b620-832ca925877a,bicycle,39.95215,-83.000507,,27.44,True,False,False
Veo,16118035-fa5b-50e0-985e-fb0519bbd5c0,bicycle,39.969023,-83.004081,,28.14,True,False,False
Veo,a0adab97-2264-5581-98a7-8acb58116acf,scooter,39.912433,-82.990727,,24.33,True,False,False
Veo,63468eed-ecfd-562f-93b2-22023875db7f,scooter,39.999072,-83.018927,,28.14,True,False,False
Veo,feb500f6-ec08-5bb5-a4f7-495b4e7429d0,bicycle,40.0057,-82.983197,,25.94,True,False,False
Veo,008dc974-b596-5716-8bee-0c10ff16ae4a,bicycle,39.968764,-82.971192,,27.77,True,False,False
Veo,9080173e-7798-5dd5-b590-27c96f6bc002,scooter,39.994799,-82.983459,,28.01,True,False,False
Veo,6f821027-6887-558e-8bd3-44671fdeda42,bicycle,39.918081,-82.974211,,21.77,True,False,False
Veo,e693cff5-922d-54bd-9b72-532e42f9293c,bicycle,39.965342,-82.96667,,27.44,True,False,False
Veo,fc4c482b-b240-5f3b-8b9d-d7ebda58445c,scooter,39.996134,-83.0195,,28.14,True,False,False
Veo,8cae1338-4644-5204-a649-5f6cda79f1b6,bicycle,39.959133,-82.998105,,13.1,True,False,False
Veo,e715587d-3786-5a9f-a3f9-02f622fac687,bicycle,40.00385,-83.013038,,28.14,True,False,False
Veo,0e321371-b1f0-51e6-9ba0-239482428a7b,scooter,40.101017,-83.108709,,28.14,True,False,False
Veo,00be53f7-3c37-5ad2-8e5f-130d546308fa,bicycle,39.98467,-82.979819,,8.09,True,False,False
Veo,34abc953-4f38-5ff4-8683-a380981ccd42,bicycle,40.00257,-83.000906,,16.39,True,False,False
Veo,71351096-1949-55cc-b721-3d420637fd15,bicycle,39.954687,-82.841074,,16.39,True,False,False
Veo,9c9989cc-bd90-5840-92d0-64227d386175,scooter,40.001006,-83.014029,,27.02,True,False,False
Veo,5dfb0ce6-a676-5317-a092-adb18357d89a,bicycle,39.987037,-83.012144,,25.65,True,False,False
Veo,97cfbc0c-cbce-563d-b1a3-36598e907b69,scooter,39.972108,-82.956235,,28.14,True,False,False
Veo,907dacdf-9f93-59d1-9582-d12339de8caf,bicycle,40.004649,-83.011539,,14.17,True,False,False
Veo,4438f470-c18b-5830-9234-f2424caaabde,scooter,39.958325,-83.028562,,9.65,True,False,False
Veo,6e127915-31fb-5c40-a870-21681cd543cb,bicycle,40.040646,-82.963659,,28.01,True,False,False
Veo,50546ade-538a-52d0-b435-a429bdc57e53,bicycle,39.960826,-83.008625,,25.34,False,True,False
Veo,1ffe5eb0-09d5-56ee-9446-9386bcea8359,bicycle,40.062931,-82.907314,,1.15,True,False,False
Veo,eb095def-834d-5cf1-a1ea-c6c3657f271f,scooter,40.004393,-83.023507,,28.14,True,False,False
Veo,5f569752-1ee3-5be1-8192-0001a6d2b545,bicycle,40.007616,-83.013171,,9.02,True,False,False
Veo,7ee2b4bc-2aa0-5d15-b80c-24a6229194c2,bicycle,40.034498,-82.988824,,6.07,True,False,False
Veo,0354cb60-c422-5cec-ae0a-c80b32a21fec,bicycle,40.00331,-83.016598,,11.11,True,False,False
Veo,47f17df4-5e22-5265-bc71-d34a6ff494f4,bicycle,39.90288,-83.056933,,23.33,True,False,False
