Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available,Is_Disabled,Is_Reserved
Veo,956102ca-fb68-5b67-a15d-fbd3619297a0,bicycle,39.94489,-83.044642,,24.84,True,False,False
Veo,665e7a61-1aa8-5a35-b364-dea7c61ac288,scooter,39.946561,-83.054813,,24.06,True,False,False
Veo,206da45f-148a-5eb7-b54f-fd44e5b50fa7,bicycle,39.957847,-83.014082,,28.14,True,False,False
Veo,3c2f9af6-bbaa-5a0b-a930-70123114d502,scooter,40.002116,-83.015656,,15.45,True,False,False
Veo,90eb23e8-9dfc-5ae4-8049-f19e49ba2196,bicycle,39.985391,-83.000572,,26.25,True,False,False
Veo,2008638,bicycle,39.955988,-82.945359,,0.33,True,False,False
Veo,d5bcaecc-499c-5653-8570-9cc07393f7bb,scooter,40.103943,-83.108984,,28.14,True,False,False
Veo,44216510-30e7-56a7-99c0-5c2da9b13b09,bicycle,40.016701,-83.011795,,15.45,True,False,False
Veo,0cfdedfc-72ec-542c-bfbf-661dc68d19b0,bicycle,39.998076,-83.009611,,28.14,True,False,False
Veo,b169d30b-845f-532c-b347-838e1b3e7bc8,scooter,40.014641,-83.011035,,18.19,True,False,False
Veo,a2e3777d-7e3a-5d78-ac3c-5e863488bbbe,bicycle,39.987835,-83.005607,,28.14,True,False,False
Veo,ec08dc2d-f1e1-5b52-8031-dd2dde8babe4,scooter,39.975769,-83.002312,,19.05,True,False,False
Veo,e9af2e41-8b3f-5428-bf00-9eb370b49874,scooter,40.032704,-82.991525,,15.18,True,False,False
Veo,2008113,bicycle,39.963284,-82.981419,,27.77,True,False,False
Veo,2008110,scooter,39.950175,-83.000278,,27.02,True,False,False
Veo,4c7b5858-c5e5-5621-b985-df0f8b9b7480,scooter,39.956913,-83.041889,,24.84,True,False,False
Veo,eb543a93-94bf-5cbc-802c-d91f3880d6fa,scooter,40.002135,-83.012518,,28.14,True,False,False
Veo,d2f5c93d-c3a5-5008-ab9a-505ba485ab98,scooter,40.104968,-83.109121,,11.34,True,False,False
Veo,b79a3894-1b76-51e8-9a98-a1b749e58bf2,scooter,40.006225,-83.008883,,13.1,True,False,False
Veo,d760db2c-933e-5b77-987f-0ac5adb5971e,scooter,40.020756,-83.038282,,19.78,True,False,False
Veo,bf536349-1944-5fcf-bb44-0c4d6c67b660,scooter,39.997626,-83.037856,,24.33,True,False,False
Veo,34d569e0-33fb-5269-b33d-ebfe16c8fd29,scooter,40.005927,-82.997731,,24.84,True,False,False
Veo,55b0e910-5272-5866-afca-29756ab3f220,bicycle,39.951071,-82.994547,,26.25,True,False,False
Veo,1e2e0628-4df3-5c09-a180-ce82e93931ea,scooter,39.968635,-83.007287,,27.77,True,False,False
Veo,c81be2e4-ba45-522a-a717-d20a1e6316d9,bicycle,39.944219,-82.982869,,19.05,False,False,True
Veo,911178f1-499c-5770-b1b2-27d315b79a75,scooter,39.968933,-83.003714,,24.33,True,False,False
Veo,adbcd5cc-74c8-5cc5-b721-57155b1a67cd,scooter,39.95493,-83.032557,,14.61,True,False,False
Veo,9644a4d3-7e45-500d-b86e-19d0dafedc26,bicycle,39.999349,-83.001273,,15.45,True,False,False
Veo,86d8e6d1-77ba-51b7-a350-5e6a7b850465,scooter,39.997994,-83.032482,,27.02,True,False,False
Veo,3c3f992e-b89d-5aab-b24d-f605264b8454,bicycle,40.002102,-83.015532,,25.65,True,False,False
Veo,28f820ba-217a-5e65-8746-a8dce7f4a9a6,scooter,40.006007,-83.008308,,16.39,True,False,False
Veo,391d1189-bb3e-5d42-a685-7e85b9276126,scooter,39.968676,-83.00711,,28.14,True,False,False
Veo,242e6e1a-ccb5-5101-ab44-cf987eac9e8e,bicycle,39.951194,-83.000574,,20.78,True,False,False
Veo,31dfdb6f-cf17-5210-9f96-1669de7c02a0,bicycle,40.022516,-83.013684,,21.15,True,False,False
Veo,95933a17-22d1-5ac8-8ddf-4eb4611750f6,bicycle,39.95786,-82.978012,,23.02,True,False,False
Veo,6fd212f8-1681-511a-bb9d-f24d2963d921,bicycle,39.985455,-83.031528,,16.39,True,False,False
Veo,1b420163-957a-52fd-9c06-d853ed1749f7,scooter,39.933972,-83.013838,,28.14,True,False,False
Veo,50de3d84-7c88-5062-b4d1-addf77c2840a,scooter,39.988758,-83.035466,,6.31,True,False,False
Veo,e254ada6-7028-5881-b2c9-1bde3a66a92c,scooter,39.963244,-82.981375,,28.14,True,False,False
Veo,2c5adfc1-4400-539d-afed-e03e15babd91,bicycle,39.994905,-83.012509,,15.45,True,False,False
Veo,79d97902-e4e9-5b3b-8de2-dbbcbd989e30,bicycle,39.968773,-82.997587,,19.05,True,False,False
Veo,dd2937f9-f642-5810-8bdd-aa68c6af40e6,bicycle,39.971502,-83.002943,,15.18,True,False,False
Veo,af318cf5-5eab-58d4-9846-34b013a0b416,scooter,39.955956,-82.9454,,1.15,True,False,False
Veo,8f874867-b005-5db3-bad5-44cc4be7ab16,scooter,39.996381,-83.016907,,14.61,True,False,False
Veo,a8c6a48b-cdff-53cf-833f-2ebde87e18c7,bicycle,39.968176,-83.009844,,9.97,True,False,False
Veo,93139de0-6957-5ebf-a409-c788f7248dcb,bicycle,40.066897,-83.077976,,19.05,True,False,False
Veo,e033be40-65e4-52ec-a4e1-92bc9377b184,bicycle,40.015991,-83.0045,,25.94,True,False,False
Veo,9fca9643-e8b2-5295-9c7e-81599650e87a,bicycle,40.103891,-83.108977,,27.77,True,False,False
Veo,240f6081-82ed-5e64-9737-f5762a9f974d,scooter,39.969062,-83.00981,,24.84,True,False,False
Veo,c5be6f26-ce91-590c-be63-7e5963180852,scooter,39.902965,-83.056973,,7.29,False,True,False
Veo,bb660b2c-86df-52a9-8feb-8009ae03b66c,bicycle,39.993998,-83.013706,,6.31,True,False,False
Veo,e1a880e3-d06a-54a6-942a-1f24d63df2e5,scooter,39.998692,-83.007908,,11.59,True,False,False
Veo,3064841b-569d-520f-b405-3e4e3f1ad2dc,bicycle,39.986111,-82.952552,,13.1,True,False,False
Veo,b83c6a1b-973b-596d-923e-c27b1d860738,bicycle,39.925547,-83.082635,,24.33,True,False,False
Veo,52e0e5a1-60e1-51f0-8274-935741f0846f,bicycle,40.001998,-83.01148,,25.12,True,False,False
Veo,eaf0b061-0215-56ee-8d10-f0878e4867f8,scooter,39.940343,-83.013702,,22.05,True,False,False
Veo,d0f84fc0-2ee7-5c3b-8ef2-60e158c5c0f0,bicycle,39.943503,-82.996172,,16.84,True,False,False
Veo,add4dca2-e2ad-5ffd-99d3-ae7d3f0d1547,bicycle,39.969159,-83.004581,,18.67,True,False,False
Veo,bf12a095-477f-5c16-867f-647947182cad,bicycle,40.000272,-83.017976,,28.14,True,False,False
Veo,93b5efda-9844-5d9a-bf3f-fb5f693d7aa9,scooter,40.002737,-83.016566,,28.01,True,False,False
Veo,6a9ce936-973a-595b-8f4a-9f4f5b5db894,bicycle,40.002995,-83.020464,,25.65,True,False,False
Veo,4e8c4a03-6b36-5a4c-80f4-4152657f2c31,bicycle,39.987336,-83.023397,,28.14,True,False,False
Veo,7c39a1f0-7d44-5cbe-8027-8542b2671764,bicycle,39.90151,-82.995162,,28.14,True,False,False
Veo,c447a134-d8aa-5371-b2ef-264154c2c327,scooter,39.959006,-83.009844,,24.06,True,False,False
Veo,99e3efab-b22a-5b7d-9a7e-fde623444dae,scooter,39.998532,-82.982365,,26.25,True,False,False
Veo,9ad5fd38-7f3b-567b-bb12-9c15a2bbda43,scooter,39.974194,-83.018739,,27.77,True,False,False
Veo,8b41306a-025f-56eb-a40d-ff4ced6f2403,scooter,39.999964,-82.99702,,18.67,True,False,False
Veo,af640c5a-c891-5d33-97a7-8ba56c4a8de7,scooter,39.969504,-83.009346,,14.17,True,False,False
Veo,c88a6837-a428-5ed9-bc31-f84f55856bab,bicycle,40.035057,-83.016903,,25.34,True,False,False
Veo,cabb8587-e1e9-53f3-a1e1-e943e7e7a6fc,bicycle,40.037358,-82.934237,,24.84,True,False,False
Veo,a0120e3a-1a1c-50c7-bbdb-884c3862c4ae,bicycle,39.902973,-83.056926,,25.65,True,False,False
Veo,6b34b9b4-e5a9-5fcf-8135-42a77cf2f452,bicycle,40.066865,-82.934977,,13.86,True,False,False
Veo,fb4d2074-ec62-5c02-8151-d45f5381d849,bicycle,39.957993,-82.863276,,28.01,True,False,False
Veo,5892b662-4eb5-5aec-83b8-69f8860eccc3,bicycle,39.949632,-82.960181,,14.17,True,False,False
Veo,d731d88c-9878-517a-86e4-e62f4baaa46d,scooter,39.958119,-83.008374,,25.65,True,False,False
Veo,841bdafb-5ffb-5224-9788-40b638a35b3b,scooter,39.994058,-83.005699,,25.34,True,False,False
Veo,a816a2f7-bc42-5d84-bc05-7b117dabae45,scooter,39.971306,-83.004805,,19.78,True,False,False
Veo,eecfef17-70b3-5abf-ba7c-cdecc7d75906,scooter,39.974885,-83.004711,,16.84,True,False,False
Veo,a4fdd6a5-2a69-5439-b5b6-54e9fea44012,scooter,40.028562,-82.964174,,17.37,True,False,False
Veo,1b380ed3-c526-5fbb-93a0-ae86df006231,scooter,39.96855,-82.955356,,28.14,True,False,False
Veo,7ccaf49d-f31a-5899-8a1b-c6f7e8db15df,bicycle,39.943881,-83.115986,,1.15,True,False,False
Veo,aa9052c9-6f6f-54bd-be35-0c51c6540b48,scooter,39.958412,-83.031344,,27.02,False,False,True
Veo,ef0760f5-e161-5ccc-aeaa-a0f435508132,scooter,39.992171,-83.012532,,16.84,True,False,False
Veo,4ad10c4c-08c8-5374-a24f-2a49e68200ef,bicycle,39.946094,-82.961051,,28.14,True,False,False
Veo,c32e2f8e-d2b0-582f-aa0d-210461ca6acb,bicycle,40.008209,-83.02783,,28.14,True,False,False
Veo,edf9536b-9edb-5b74-aa1d-3446c7677665,scooter,39.942916,-82.957773,,25.65,True,False,False
Veo,d9365ad1-3ce6-5f3d-b3fc-46714c7901d1,scooter,39.969005,-83.00381,,28.14,True,False,False
Veo,dcf40f13-f340-537f-b2fc-954ce33fdd43,bicycle,39.928081,-83.054366,,27.02,True,False,False
Veo,3863c1e8-dbaa-573b-a738-dfd310360412,bicycle,39.993369,-82.982917,,18.67,True,False,False
Veo,41d018a1-f5db-51cf-a4de-61aca927b0ff,scooter,39.97618,-82.980155,,13.1,True,False,False
Veo,d4b36dd9-94c0-589c-854b-aa9ed148e0aa,bicycle,39.917885,-82.975692,,28.14,True,False,False
Veo,5901cfc7-e9f3-5469-9c4d-e73aa890a302,bicycle,39.922585,-83.034487,,8.43,True,False,False
Veo,44789480-d2d3-5124-b24c-8c0154b037d1,scooter,39.99836,-83.021414,,28.14,True,False,False
Veo,c1c069e6-0c6c-5856-b99f-8c6fd4e2d6c2,bicycle,39.991672,-83.076401,,28.14,True,False,False
Veo,3bba5e8c-e001-5460-bed4-15eb541fe8df,bicycle,39.992239,-82.987682,,28.14,True,False,False
Veo,8113b3c7-2d38-57ff-bdb3-dd4fdf69a522,scooter,40.100939,-83.109148,,21.49,True,False,False
Veo,df0563ef-5abf-578e-8924-c2174e67900c,bicycle,39.954287,-82.922442,,14.43,False,False,True
Veo,54e041ab-10da-5aa4-a5f8-c97b1daa4d57,bicycle,40.000814,-83.002907,,20.05,True,False,False
Veo,2b503d18-b6c3-533d-86b0-9841b7c71bd5,bicycle,39.969461,-83.017717,,25.34,True,False,False
Veo,59d6f794-5793-5f8a-bdd0-0b9d174f591b,scooter,39.974345,-83.019619,,28.14,True,False,False
Veo,4e7eb033-7a49-546d-bb92-3de6af822515,bicycle,39.983807,-82.936099,,24.33,True,False,False
Veo,480a47fb-452a-5f89-8e5d-cf437565fa83,scooter,39.899844,-82.997966,,24.84,True,False,False
Veo,18de09c0-3a29-5aa3-aed9-5057405dd9c2,bicycle,40.022767,-83.001839,,28.14,True,False,False
Veo,5dc9cd96-2daa-538a-8922-cea3ccea6edb,scooter,40.000549,-83.016893,,27.02,True,False,False
Veo,d1e52ba6-8f6d-5d9c-88a1-c54c2b1bcfc8,bicycle,39.966068,-83.001547,,5.59,True,False,False
Veo,e66308f0-810f-53f2-ae40-dc4cb78386d7,bicycle,40.066763,-82.916705,,1.56,True,False,False
Veo,718b3a8e-0d14-563c-9ae4-29dd96c4842e,bicycle,39.984351,-83.022437,,12.63,True,False,False
Veo,3b9bfa39-2bf4-5755-aef7-7a0150e37e34,bicycle,39.991699,-83.003159,,8.43,True,False,False
Veo,775b70d9-1222-5ba1-a9d2-c67806495d88,bicycle,39.977158,-83.005127,,12.07,True,False,False
Veo,47f17df4-5e22-5265-bc71-d34a6ff494f4,bicycle,39.902976,-83.056959,,25.74,True,False,False
Veo,110327c5-61b6-528f-92af-beac4b372e1c,bicycle,39.937491,-82.950541,,25.34,True,False,False
Veo,46ab565e-39a6-5092-8709-64762668ae3f,bicycle,39.927728,-82.963823,,21.77,True,False,False
Veo,cd67571f-27dc-5420-a38b-c903501be26c,scooter,39.963246,-82.981339,,28.14,True,False,False
