Company,Vehicle_ID,Type,Latitude,Longitude,Battery_Pct,Range_Miles,Is_Available,Is_Disabled,Is_Reserved,Last_Reported
Veo,c0d0556b-7eea-508f-aaab-8d8584cd94ff,bicycle,40.007418,-83.003756,,18.19,True,False,False,0
Veo,2004434,bicycle,39.950207,-83.00029,,27.18,True,False,False,0
Veo,2004106,bicycle,39.956092,-82.945317,,28.14,True,False,False,0
Veo,1dbabf88-2d93-5cca-ae28-2b2d1f2b3dd5,bicycle,39.959258,-83.009314,,28.14,True,False,False,0
Veo,1021103,bicycle,40.014746,-83.00027,,28.01,True,False,False,0
Veo,61931328-b5e0-5044-bd9c-47009ead1796,bicycle,39.927349,-82.9872,,8.43,True,False,False,0
Veo,8cb60de8-2924-5366-8dcd-ebe67f76612a,bicycle,40.000348,-82.974409,,18.67,True,False,False,0
Veo,18b5a803-9417-5132-a517-e6bf83abe582,scooter,39.994963,-83.010351,,17.89,True,False,False,0
Veo,63dda23b-dc31-5d9d-a329-724fcbe0b6a7,bicycle,40.002003,-83.001172,,18.67,True,False,False,0
Veo,2ba98b91-79a1-5304-a623-da70af624e78,bicycle,40.000778,-82.986485,,2.12,True,False,False,0
Veo,9a101dc5-a3fb-5561-a36a-551c7c784107,bicycle,39.98784,-83.008142,,11.83,True,False,False,0
Veo,21e1d4b4-6059-54f7-90e5-a71e178ba024,bicycle,39.956168,-82.945299,,4.67,True,False,False,0
Veo,c04adf29-fc04-5766-a561-56696a49ea0b,bicycle,40.10166,-83.115515,,19.05,True,False,False,0
Veo,83b99917-897d-5c73-9e8f-8287de27bd77,scooter,39.993832,-82.986638,,28.14,False,True,False,0
Veo,c060bcde-b69d-5296-982f-1ad278ffb467,bicycle,40.018527,-83.01718,,28.14,True,False,False,0
Veo,c4be00f7-b2e2-5d65-a5d9-144b4b7bd378,bicycle,40.00117,-83.010561,,25.12,True,False,False,0
Veo,f0f231a9-ff39-5074-82f2-06673d12cb58,bicycle,39.955921,-83.003166,,13.86,False,True,False,0
Veo,fe7f1502-3edf-5539-9103-6489c77ff78f,bicycle,40.015913,-82.963362,,28.14,True,False,False,0
Veo,58da5127-8c67-5886-8723-2d3a266d943a,scooter,39.963043,-83.004246,,25.74,True,False,False,0
Veo,eaff8d58-a2b7-51e4-b4e0-cec0c3853a59,bicycle,39.974954,-82.981517,,23.02,True,False,False,0
Veo,723fe2ab-4ec3-55d1-88ef-4e44edc15aa3,bicycle,39.953557,-82.998191,,15.18,True,False,False,0
Veo,8952b12b-0952-54ff-bfaf-653503085626,scooter,40.051953,-83.030179,,24.06,True,False,False,0
Veo,3bcb9dce-6c7b-5f58-82e6-66f62cad8143,bicycle,39.955744,-83.004462,,24.33,True,False,False,0
Veo,3221660f-6c8e-5d24-8d8d-68955b8c6aad,bicycle,40.001599,-82.998068,,28.14,True,False,False,0
Veo,149a7510-2c04-5362-bd40-21e8e2203e02,bicycle,40.057688,-83.049264,,28.14,False,True,False,0
Veo,bbd4cbbb-bf4f-548e-871e-54640b0cd298,bicycle,39.972215,-83.003283,,28.14,True,False,False,0
Veo,92a3dab0-4352-5ae1-98fb-1cc55bc3136b,bicycle,39.954241,-82.967683,,28.14,True,False,False,0
Veo,413d53ff-9c7d-5948-9db9-a44a62d0f91e,scooter,39.954341,-82.939482,,24.06,True,False,False,0
Veo,cd274c9f-0ec1-55f6-b9db-f138ec0094fd,scooter,39.95602,-82.945397,,16.39,True,False,False,0
Veo,fc0c0ef8-b33b-51c5-aaa5-35caddff906b,scooter,39.925575,-83.039221,,21.77,True,False,False,0
Veo,2ad110e6-4de5-5ba1-bce5-77eb1b2f49f1,scooter,39.959332,-82.991175,,25.65,True,False,False,0
Veo,52c05650-330a-5227-814e-0b9a18f2317a,scooter,39.923504,-82.985517,,6.98,True,False,False,0
Veo,bd62adc1-7aa1-55ee-8238-d5d363780db8,bicycle,39.950888,-82.9776,,2.12,True,False,False,0
Veo,8767af55-e0f5-5d22-8671-6d2992cfd2b4,scooter,39.963105,-83.004325,,28.14,True,False,False,0
Veo,0589aab4-5b1a-5cf1-8b21-5ef9ed490edf,scooter,39.911642,-82.994785,,14.43,True,False,False,0
Veo,a54b776c-69bd-58c6-a85a-65e305a73ab6,scooter,40.008902,-83.015173,,22.39,True,False,False,0
Veo,1c392057-9fbd-599c-b3a1-05ccc476a5e2,scooter,39.958091,-82.944225,,28.14,True,False,False,0
Veo,93100ddc-8a40-5ffb-8d8f-a9fb5e3493dc,scooter,39.956154,-82.9453,,4.14,True,False,False,0
Veo,317f57b0-e9b2-5619-b3fb-2c88e72d5e11,scooter,39.945027,-83.114148,,28.14,True,False,False,0
Veo,a4827df5-641c-524b-b009-0ee76f87c207,scooter,39.99753,-83.007533,,14.17,True,False,False,0
Veo,74701d60-1281-57e9-bd28-b53218e54768,scooter,39.95244,-82.988925,,11.83,True,False,False,0
Veo,4368d78b-b368-52df-a9e5-ad254e3c9ab0,scooter,39.948328,-82.962903,,1.56,True,False,False,0
Veo,0a39914b-f6e7-5b62-b5b0-97e46366dac5,scooter,39.960334,-82.865501,,15.18,True,False,False,0
Veo,60fb9daa-1b22-5d1c-a75f-85a0d1c64505,scooter,39.990688,-82.938094,,1.15,True,False,False,0
Veo,e2144821-d8e9-5ad8-96e2-7e71709516f0,scooter,39.998926,-82.981332,,14.61,True,False,False,0
Veo,d0a7330e-d548-5c83-bab9-07e9cdee4aa2,scooter,39.927539,-82.965673,,6.31,True,False,False,0
Veo,6344bd5b-a70a-5d80-a38f-a450c964c1cc,bicycle,39.95916,-83.002105,,6.67,True,False,False,0
Veo,e4b457a6-d05b-58f1-ad10-920a18db91dd,bicycle,39.957334,-82.939363,,28.14,True,False,False,0
Veo,7c7504f5-28dd-59bc-81e1-088d95b2b671,bicycle,39.998123,-83.009456,,25.94,True,False,False,0
Veo,f865ae19-9ce6-5bcb-a66a-774f80898e10,bicycle,39.953504,-82.923696,,8.43,True,False,False,0
Veo,ce336235-63a6-5a09-b2fb-e5295742e62a,scooter,39.900783,-82.995693,,12.63,True,False,False,0
Veo,c0c8a0f3-c9f9-55e5-a38f-7ef09651a786,scooter,40.01969,-82.955393,,14.43,True,False,False,0
Veo,c6f35c03-144d-556d-814b-38192ac61df4,scooter,40.099484,-83.100787,,25.34,False,False,True,0
Veo,364bcd27-ac91-5d94-947e-5f9e9cf07eeb,bicycle,40.102606,-83.110488,,24.33,True,False,False,0
Veo,23329bf4-a9f8-5522-b3fe-e875ef50145d,bicycle,40.060507,-82.954538,,0.33,True,False,False,0
Veo,b565632b-9b23-5064-aa63-154e22e1aa66,scooter,40.019713,-82.945838,,19.39,True,False,False,0
Veo,c4d6de6c-9676-5449-b6a9-fef122ee1bb1,scooter,40.068327,-83.089533,,25.12,True,False,False,0
Veo,b444da09-c719-5fa5-9516-bcabcc98fe70,scooter,39.956134,-82.945283,,2.12,True,False,False,0
Veo,4952ce58-cacb-5bed-99c6-3d89c9703780,scooter,39.95922,-82.986892,,28.14,True,False,False,0
Veo,98ad0f5a-eb4c-5ee3-b886-bca30e159d5e,scooter,40.001478,-82.997287,,27.02,True,False,False,0
Veo,36784ebd-afa7-566c-8146-99de4b3f7363,scooter,40.065434,-83.020994,,15.89,True,False,False,0
Veo,94f5f06d-7bd3-5ace-8e2c-35c50163fa10,scooter,39.974969,-82.907189,,21.49,True,False,False,0
Veo,c1a39155-fc6a-50d2-927f-86ce820f7a79,scooter,39.956177,-82.945271,,24.84,True,False,False,0
Veo,194fb2f8-9d17-5232-a707-579236b47c95,scooter,39.945742,-82.914726,,22.39,True,False,False,0
Veo,4a72381f-6c11-5d5b-96c5-34041b91f6e9,scooter,39.99921,-82.988299,,24.33,True,False,False,0
Veo,40d6b8cc-e8e7-5f99-884f-317c06ec1a3e,scooter,39.94793,-83.063079,,10.31,True,False,False,0
Veo,48363a5c-c2ab-5eb7-8b06-4a64f3a9a2e3,scooter,39.998361,-82.978108,,24.06,True,False,False,0
Veo,c5bacfdf-7399-5d2f-8d48-eb00ee7788a9,scooter,40.010612,-83.01235,,1.56,True,False,False,0
Veo,ed19e4fa-55e5-5eed-92a7-50e596ab7403,scooter,39.955944,-83.018873,,8.43,True,False,False,0
Veo,bcaaf733-b602-506a-a483-7e229e801908,scooter,39.969638,-82.978287,,6.98,True,False,False,0
Veo,91113a43-cba5-5546-889a-a4d6c540e9ac,scooter,39.96077,-83.012506,,28.14,False,True,False,0
Veo,5136ddd8-8363-5df5-b1f9-d8d7911f2ed7,scooter,39.973394,-83.004707,,28.14,True,False,False,0
Veo,bbd208f0-a236-562d-9e4e-116e29ff8171,scooter,39.946854,-82.912507,,5.83,True,False,False,0
Veo,0a76bbc9-e935-511a-bad9-7f12b15884d8,scooter,39.981831,-82.880864,,1.56,True,False,False,0
Veo,baae3ee7-e6da-5f58-9350-f8ac76a0852d,scooter,39.966923,-83.00916,,15.45,True,False,False,0
Veo,6970d23f-c2fb-53b1-84da-20ddb3747462,scooter,39.989256,-83.044571,,27.77,True,False,False,0
Veo,b4ce0eff-67e2-56e5-ab34-c4a849bf1886,scooter,39.95091,-82.95049,,13.39,True,False,False,0
Veo,48c828b5-a8cb-524f-a77e-48ab8cc692fe,scooter,39.946801,-82.95144,,25.65,True,False,False,0
Veo,bb8dcb0e-1e49-5205-a218-015a07158b3d,scooter,39.995906,-83.007441,,15.45,True,False,False,0
Veo,72062c67-9e2d-5b59-9a73-52cee4a38d10,scooter,40.035556,-82.963892,,25.74,True,False,False,0
Veo,c48e0f9b-6367-5620-acd3-a1432c312df8,scooter,40.010127,-82.978894,,3.48,False,False,True,0
Veo,1761cf92-b3a2-54b9-b4a2-41b65a0fd82e,scooter,39.969351,-83.018454,,1.83,True,False,False,0
Veo,11b2b9e4-943d-5647-9040-ee710e73372a,scooter,39.961601,-83.034866,,27.44,True,False,False,0
Veo,f14dcf9a-ad66-5dfb-88bc-4184d995b85a,scooter,39.938901,-83.097027,,9.97,True,False,False,0
Veo,3e50e357-e1e7-5062-a105-02a5e503e26f,scooter,39.938211,-83.096654,,25.34,True,False,False,0
Veo,cdec7f7f-5775-5865-921e-c780a7511743,scooter,39.996665,-83.006637,,24.33,True,False,False,0
Veo,53ec1fc3-76bd-5fad-aad9-aa0063de682e,scooter,39.961683,-83.003749,,28.14,True,False,False,0
Veo,aac89e0e-fd61-5d1f-9a1a-c460ccf01fbd,scooter,40.030606,-82.962969,,5.44,True,False,False,0
Veo,76d283a6-328d-5ba3-9044-aaf1a7b82659,bicycle,39.964738,-82.999508,,24.33,True,False,False,0
Veo,ad88dae0-82a7-5b7d-a5ce-b1872df2ae04,scooter,40.022777,-83.02873,,20.37,True,False,False,0
Veo,65e0b40e-7b96-59f5-98e4-200423b5ff78,scooter,39.923142,-82.957647,,9.29,False,False,True,0
Veo,ace4c263-8238-5b9d-b2ac-b1fb81dd934c,scooter,39.995483,-82.999154,,5.44,True,False,False,0
Veo,26db93a8-a9a8-5170-8b19-cc4a8b5019fc,bicycle,39.924668,-82.900688,,3.48,True,False,False,0
Veo,70bd7cea-3798-5c08-9a64-479aff11aa58,bicycle,40.016152,-82.998826,,25.74,True,False,False,0
Veo,b8e6b09a-b08e-5cdd-acbd-192c02cb8f85,scooter,40.02055,-83.027771,,5.68,True,False,False,0
Veo,b3b1a5ed-f27b-570e-aa28-31748c0e9bf3,bicycle,39.938613,-83.097035,,6.67,True,False,False,0
Veo,47b9538d-d669-5f3c-b9dc-ef1edeb6b91c,bicycle,39.997009,-83.010804,,28.14,True,False,False,0
Veo,d7d3c411-f86c-5d5e-b6ac-3a8fb22b43aa,bicycle,39.99664,-83.003704,,25.34,True,False,False,0
Veo,bc262730-48ca-5176-a956-79b6973e88c7,bicycle,39.933273,-82.980679,,20.37,True,False,False,0
Veo,c47c76ff-299a-5278-a573-8a1e934f2451,bicycle,40.010796,-82.998122,,10.51,True,False,False,0
Veo,7df3e676-6fa0-5a50-99eb-1ba975c5f146,scooter,39.99396,-82.983395,,27.44,True,False,False,0
Veo,40aec9e7-7e0a-5c65-9711-2d58f416af4b,bicycle,39.935981,-82.855136,,27.44,True,False,False,0
Veo,7da018cd-ebb6-5756-8dc8-51aa0a02bd2f,bicycle,39.986843,-83.045404,,25.12,True,False,False,0
Veo,c4790059-1c73-5972-9c77-6474df7fbfd4,bicycle,39.968531,-83.001743,,28.14,True,False,False,0
Veo,28dea74b-5a88-5d89-9387-5487f5f0f7b5,bicycle,39.926993,-82.970278,,5.68,True,False,False,0
Veo,498ae739-03da-5590-9562-d5c8e2d0ba6f,bicycle,39.943238,-82.866512,,2.79,True,False,False,0
Veo,277fe763-5ed5-5e54-99ba-b19fc53d8070,bicycle,39.935894,-82.988892,,26.25,True,False,False,0
Veo,55a47720-5a3b-5a87-8c86-eabc5af08b3e,scooter,39.973364,-83.004723,,14.43,True,False,False,0
Veo,43394b15-acd5-5987-bdda-5c7e6306f7b2,bicycle,40.02367,-82.996378,,20.05,True,False,False,0
Veo,e352b579-a26b-5a9d-b826-2788a087d5d0,scooter,39.935042,-82.992889,,28.14,True,False,False,0
Veo,f45400b4-b5e6-5c3c-b6b1-f8a7637b911f,bicycle,40.026368,-83.025079,,13.86,True,False,False,0
Veo,d1f1b17a-400b-5264-aaab-2d9d7904c7dc,scooter,39.963132,-83.004364,,26.25,True,False,False,0
Veo,bb358b29-ca38-54b6-8e0e-14207605da06,scooter,39.987314,-83.00838,,28.14,True,False,False,0
Veo,f109e3f2-f715-5594-9f08-e511b75358ac,bicycle,40.09637,-82.990526,,3.13,True,False,False,0
Veo,5e8f9ce4-debc-5317-a9c6-5a81987c5b81,bicycle,39.958765,-82.950766,,26.78,True,False,False,0
Veo,1084580d-d90d-56a1-a400-1022145e89f4,bicycle,39.99932,-83.020324,,26.78,True,False,False,0
Veo,16138706-2e01-523a-b2bc-12bdc655f24c,bicycle,40.006523,-82.971908,,8.43,False,True,False,0
Veo,df7be4cb-2afd-5465-8bd4-d0aa6bceb2ba,bicycle,39.971279,-83.00257,,24.33,True,False,False,0
Veo,a6f22709-e314-5ace-abbf-73633e2816e4,bicycle,40.101042,-83.108804,,25.65,True,False,False,0
